,^DJI,^HSI,^FCHI
2023-01-03,3.305572216078894,3.3431722551733807,3.2580059784784274
2023-01-04,3.2560327393470208,3.2998241164943294,3.2024950822686504
2023-01-05,3.207235694192674,3.25703803751754,3.1479299980814486
2023-01-06,3.1591699540621745,3.2148067304918384,3.09429461090198
2023-01-09,3.1118245591524163,3.173123002160743,3.0415730802890186
2023-01-10,3.0651887139118656,3.1319797525372497,2.989749835696736
2023-01-11,3.019251784579014,3.0913699736945004,2.938809571876205
2023-01-12,2.97400329675772,3.051286748572139,2.8887372443552466
2023-01-13,2.9294329330288944,3.01172324979814,2.839518064995305
2023-01-16,2.885530530597977,2.972672738525912,2.7911374976240237
2023-01-17,2.8422860789776725,2.9341285632864915,2.7435812537422417
2023-01-18,2.7996897177054163,2.8960841588556048,2.6968352883041367
2023-01-19,2.757731734095051,2.8585330451354336,2.6508857955692733
2023-01-20,2.716402561022198,2.8214688260508742,2.6057192050253297
2023-01-23,2.675692774742822,2.784885188460111,2.561322177380297
2023-01-24,2.6355930927444904,2.7487759010793167,2.5176816006229714
2023-01-25,2.596094371629837,2.7131348134212945,2.4747845861505713
2023-01-26,2.5571876050317504,2.6779558547478857,2.4326184649623417
2023-01-27,2.5188639215598028,2.6432330330359597,2.3911707839180156
2023-01-30,2.4811145827774674,2.6089604339568138,2.3504293020600326
2023-01-31,2.4439309812096455,2.575132219868806,2.3103819869984266
2023-02-01,2.407304638380059,2.5417426288230525,2.2710170113573134
